                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.63033,                 0.7552,                 1.1274,                0.85606,                0.54839,                0.60603,                0.47195,                0.82302,                 1.1378,                 1.2548,             0.00066838,             0.00066838,             0.00066838
                     49,                0.61002,                0.73505,                 1.1121,                0.88339,                0.55358,                0.61578,                0.47063,                0.80671,                 1.0592,                 1.2033,               0.000656,               0.000656,               0.000656
                     50,                 0.6006,                0.72581,                 1.1215,                0.87533,                0.56997,                0.61344,                0.48344,                0.80021,                 1.1746,                  1.225,             0.00064362,             0.00064362,             0.00064362
                     51,                0.59662,                0.73992,                 1.1112,                0.90884,                0.55672,                0.62959,                0.48489,                0.81041,                 1.0149,                  1.249,             0.00063125,             0.00063125,             0.00063125
                     52,                0.58993,                0.69416,                 1.1097,                0.85747,                0.56376,                0.61077,                0.46951,                0.80703,                 1.2178,                 1.2175,             0.00061887,             0.00061887,             0.00061887
                     53,                0.59458,                0.70854,                 1.1148,                0.87254,                0.57603,                0.62474,                0.48864,                0.80121,                0.98651,                 1.2108,              0.0006065,              0.0006065,              0.0006065
                     54,                 0.5931,                0.69371,                 1.1035,                0.90718,                0.56399,                0.62814,                 0.4929,                 0.7707,                 1.0435,                  1.195,             0.00059413,             0.00059413,             0.00059413
                     55,                0.57022,                0.69739,                  1.087,                0.87823,                0.56622,                0.62359,                 0.4871,                0.76526,                 1.0129,                 1.1941,             0.00058175,             0.00058175,             0.00058175
                     56,                0.57362,                0.70036,                 1.0942,                0.62042,                0.57725,                0.62417,                0.49138,                0.78138,                 1.0383,                 1.1859,             0.00056938,             0.00056938,             0.00056938
                     57,                0.56829,                0.66901,                 1.0902,                0.64618,                0.56105,                0.62852,                0.49244,                0.77687,                 1.0592,                 1.1899,               0.000557,               0.000557,               0.000557
                     58,                0.56905,                0.65799,                 1.0879,                0.92105,                0.54707,                0.62672,                0.48316,                0.81133,                 1.0325,                 1.2348,             0.00054463,             0.00054463,             0.00054463
                     59,                0.57151,                0.66674,                 1.0986,                0.88757,                0.57038,                0.63321,                0.49865,                0.80058,                 1.0572,                 1.1994,             0.00053225,             0.00053225,             0.00053225
                     60,                0.57104,                0.66325,                 1.1112,                0.85819,                0.59247,                0.62751,                0.49469,                0.76109,                 1.0729,                 1.1756,             0.00051988,             0.00051988,             0.00051988
                     61,                0.55188,                0.64224,                 1.0754,                 0.6613,                0.56768,                0.63048,                0.50639,                0.75037,                 1.0435,                 1.1692,              0.0005075,              0.0005075,              0.0005075
                     62,                0.56038,                0.65542,                 1.0785,                0.64741,                0.55502,                0.62412,                 0.4975,                0.80145,                  1.028,                 1.2034,             0.00049513,             0.00049513,             0.00049513
                     63,                0.54685,                0.63185,                 1.0732,                0.59299,                0.60098,                0.61769,                0.47503,                0.81275,                 1.0914,                 1.2244,             0.00048275,             0.00048275,             0.00048275
                     64,                0.55961,                 0.6544,                 1.0857,                0.90487,                0.57622,                0.63209,                0.49746,                0.74003,                 1.0292,                 1.1725,             0.00047038,             0.00047038,             0.00047038
                     65,                0.53951,                0.62985,                 1.0649,                0.87963,                0.58835,                0.63627,                0.50772,                0.74355,                0.96963,                 1.1769,               0.000458,               0.000458,               0.000458
                     66,                 0.5411,                0.62359,                 1.0739,                0.87387,                0.58466,                0.62476,                0.50095,                0.75043,                 1.0196,                 1.1795,             0.00044563,             0.00044563,             0.00044563
                     67,                0.53806,                 0.6279,                 1.0717,                0.86385,                 0.5899,                0.63003,                0.50859,                0.76319,                  1.038,                 1.1835,             0.00043325,             0.00043325,             0.00043325
                     68,                0.52705,                0.60942,                 1.0782,                0.89755,                0.57554,                0.62467,                0.50619,                 0.7503,                 1.0719,                 1.1619,             0.00042087,             0.00042087,             0.00042087
