lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
2.8e-05,0.000208,0.0,0.004776,0.0,0.01632,0.0,0.00488,0.973788,0.001372463141006531,5.354086288577982e-08,6.3613577897306284e-12,8.42932109280393e-11,-1.3827459837872928e-21,-1.8874934112674023e-14,1.3776925275698738e-21,37.979621817266434,185.63316386523562
3.2e-05,0.000528,0.0,0.006596,0.0,0.0199,0.0,0.00678,0.966164,0.0014051745195361779,9.861954579464314e-08,2.2992221078751622e-11,6.049186788518107e-11,8.692923899963966e-22,1.1264085109293381e-14,-2.0817764427388167e-21,48.45909341444077,206.76309019128757
0.000256,0.001348,0.0,0.01364,0.0,0.026924,0.0,0.0124,0.945432,0.0010834169616901982,9.7559040414811e-08,8.492507104803379e-12,1.3475476188507265e-11,1.3125341512796704e-22,-9.73480918440891e-16,-5.96123228421161e-23,89.41865187755063,272.06631010913753
8.4e-05,0.001172,0.0,0.012804,0.0,0.021584,0.0,0.012052,0.952304,0.0008683576982710955,4.279615167724243e-08,1.666704203830354e-11,5.690228269468869e-12,-4.4419265130287434e-23,-4.066219913071307e-16,-3.313157204978242e-23,75.69406178632971,251.23885012132834
8e-06,0.00024,0.0,0.003528,0.0,0.016036,0.0,0.003576,0.976612,0.0009806404074585596,1.996029749648509e-09,3.3715295256072e-11,1.3283210134047366e-12,7.510865630521087e-24,-5.635253413510378e-18,4.754653347585293e-24,38.6594040924329,189.00433665717298
2e-05,0.000304,0.0,0.006268,0.0,0.015056,0.0,0.006056,0.972296,0.0013387511402738186,3.90384553203471e-08,1.5317552613834364e-11,2.1202049247702623e-10,1.0953407175947954e-20,3.8393790511195246e-14,-5.1002745334409215e-21,35.3854390760023,176.80896781950435
4e-05,0.000228,0.0,0.003412,0.0,0.014624,0.0,0.003368,0.978328,0.0009733738521534639,4.112352139119167e-08,2.4211659728219357e-12,9.655306193401975e-12,1.0835173932712e-23,1.5867744177550803e-15,-4.540845280331324e-23,32.66999885283872,173.41834959125725
2.4e-05,0.000292,0.0,0.00304,0.0,0.013336,0.0,0.002972,0.980336,0.0006698778737340264,3.0405440490687784e-10,7.262591349589821e-12,7.079242732962132e-14,-4.7207007452770245e-26,-2.206007839137658e-19,-1.8658194180172655e-26,34.74369786750488,179.52217205262292
7.6e-05,0.000772,0.0,0.006388,0.0,0.010528,0.0,0.005828,0.976408,0.0006603218184769149,1.7618608616057374e-08,9.766106688817123e-14,1.1225552141421489e-13,9.297358786698454e-27,6.3400110929379406e-18,7.190766203271139e-27,40.82681743550789,188.41279197041723
5.6e-05,0.000836,0.0,0.009752,0.0,0.021592,0.0,0.009488,0.958276,0.0009283355226146106,3.2961817620283986e-08,4.450743966355945e-11,7.373102206857676e-12,-3.6331621637892944e-23,1.1774243226328551e-15,1.2852836992185265e-22,67.3421756840233,240.39807356578828
0.000148,0.001692,0.0,0.01528,0.0,0.027272,0.0,0.014676,0.940932,0.0008371797957595015,6.289455072629632e-08,1.1120089672537109e-11,5.5566535488671166e-12,3.8711904356774216e-23,1.0165639046680572e-15,-2.02300798908048e-23,96.42016456441236,279.77608951690576
1.2e-05,0.00024,0.0,0.004804,0.0,0.011124,0.0,0.00488,0.97894,0.000770391550624712,5.346960948636793e-08,9.356466274980848e-12,1.3016807836433021e-12,8.21763550523407e-25,5.1867675018615285e-17,4.46773947480603e-24,34.25904249039779,175.4960125120828
5.6e-05,0.000412,0.0,0.012672,0.0,0.022424,0.0,0.012548,0.951888,0.0008015967011556239,1.601482357651125e-09,2.0892555556158772e-11,1.4699888751867086e-11,2.3291878538848407e-22,2.29521367676193e-16,1.1005914742023918e-22,77.90384087520198,257.99479757718217
1.2e-05,0.000268,0.0,0.00376,0.0,0.012708,0.0,0.003608,0.979644,0.0008342334837701695,1.374452562399407e-08,3.0095409936938552e-12,1.0638068147010681e-12,-7.650158996953141e-25,-4.936569049663796e-17,-1.742962842498658e-24,33.92695533716628,176.31743107687888
1.2e-05,0.00016,0.0,0.003412,0.0,0.014048,0.0,0.003396,0.978972,0.0014797596817644788,4.867553016496828e-08,1.0031845508407266e-11,3.93903802645595e-11,-7.818174647450307e-23,-9.019641406512721e-16,7.791122544987456e-22,25.88481114725025,154.16851867962922
8e-06,0.000364,0.0,0.004604,0.0,0.01004,0.0,0.004472,0.980512,0.0007562262917984246,8.640041926128167e-09,4.214417768049389e-11,4.826383674783216e-12,4.230795516171505e-23,-4.460433872067749e-16,-5.429663745490712e-23,29.68128759776922,162.71871301893492
8.4e-05,0.000764,0.0,0.005768,0.0,0.017072,0.0,0.005444,0.970868,0.000832539173016626,2.0250214239749315e-08,1.1906621966217228e-10,1.7750480731584672e-12,2.5710636806329987e-23,-2.2801900251220273e-17,-2.2086981997284283e-24,46.40634663828505,202.50038170751017
0.0001,0.001056,0.0,0.00872,0.0,0.02208,0.0,0.009,0.959044,0.0012264162127317419,1.9556511359683327e-08,3.6103624301493874e-11,2.9311906941362853e-10,5.9849738596462385e-21,-3.258496733904937e-14,2.955384041125422e-20,60.121326350684036,226.06933652716933
0.000108,0.000836,0.0,0.006644,0.0,0.021264,0.0,0.006464,0.964684,0.000935592365033953,9.8606086143222e-08,5.927540860297282e-12,7.103790610277327e-12,-4.454616237482369e-23,-2.1922651216232672e-15,-1.185627662707408e-23,61.20732979605432,232.0766476387425
9.2e-05,0.00114,0.0,0.010392,0.0,0.024424,0.0,0.010668,0.953284,0.0010041551394751155,6.445340311834316e-08,2.7609329310303917e-11,6.189768779374336e-12,2.0138840721914685e-23,-8.2393089077283825e-16,-7.837079680943398e-23,75.31985772564751,252.5158518433808
